山东电信,#genre#
新闻,http://150.138.8.143/00/SNM/CHANNEL00001006/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL10000062/index.m3u8
济阳综合,http://150.138.8.143/00/SNM/CHANNEL00001030/index.m3u8
淄博公共,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
邹城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
日照岚山,http://150.138.8.143/00/SNM/CHANNEL00001044/index.m3u8


CCTV1,http://222.173.9.81:80/00/SNM/CHANNEL00000001/index.m3u8
CCTV2,http://222.173.9.81:80/00/SNM/CHANNEL00000002/index.m3u8
CCTV3,http://222.173.9.81:80/00/SNM/CHANNEL00000003/index.m3u8
CCTV4,http://222.173.9.81:80/00/SNM/CHANNEL00000004/index.m3u8
CCTV5,http://222.173.9.81:80/00/SNM/CHANNEL00000005/index.m3u8
CCTV6,http://222.173.9.81:80/00/SNM/CHANNEL00000006/index.m3u8
CCTV7,http://222.173.9.81:80/00/SNM/CHANNEL00000007/index.m3u8
CCTV8,http://222.173.9.81:80/00/SNM/CHANNEL00000008/index.m3u8
CGTN,http://222.173.9.81:80/00/SNM/CHANNEL00000009/index.m3u8
CCTV10,http://222.173.9.81:80/00/SNM/CHANNEL00000010/index.m3u8
CCTV11,http://222.173.9.81:80/00/SNM/CHANNEL00000011/index.m3u8
CCTV12,http://222.173.9.81:80/00/SNM/CHANNEL00000012/index.m3u8
CCTV13,http://222.173.9.81:80/00/SNM/CHANNEL00000013/index.m3u8
CCTV14,http://222.173.9.81:80/00/SNM/CHANNEL00000014/index.m3u8
CCTV15,http://222.173.9.81:80/00/SNM/CHANNEL00000015/index.m3u8
浙江卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000016/index.m3u8
湖南卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000017/index.m3u8
江苏卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000018/index.m3u8
北京卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000019/index.m3u8
安徽卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000020/index.m3u8
天津卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000021/index.m3u8
东方卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000022/index.m3u8
重庆卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000023/index.m3u8
深圳卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000024/index.m3u8
广东卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000025/index.m3u8
辽宁卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000026/index.m3u8
黑龙江卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000027/index.m3u8
东南卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000028/index.m3u8
陕西卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000029/index.m3u8
旅游卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000030/index.m3u8
湖北卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000031/index.m3u8
山西卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000032/index.m3u8
四川卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000033/index.m3u8
河北卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000034/index.m3u8
江西卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000035/index.m3u8
吉林卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000036/index.m3u8
河南卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000037/index.m3u8
广西卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000038/index.m3u8
云南卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000039/index.m3u8
内蒙古卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000040/index.m3u8
贵州卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000041/index.m3u8
青海卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000042/index.m3u8
宁夏卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000043/index.m3u8
新疆卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000044/index.m3u8
西藏卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000045/index.m3u8
甘肃卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000046/index.m3u8
金鹰卡通,http://222.173.9.81:80/00/SNM/CHANNEL00000047/index.m3u8
卡酷少儿,http://222.173.9.81:80/00/SNM/CHANNEL00000048/index.m3u8
优漫卡通,http://222.173.9.81:80/00/SNM/CHANNEL00000049/index.m3u8
哈哈炫动,http://222.173.9.81:80/00/SNM/CHANNEL00000050/index.m3u8
山东卫视,http://222.173.9.81:80/00/SNM/CHANNEL00000051/index.m3u8
山东齐鲁,http://222.173.9.81:80/00/SNM/CHANNEL00000052/index.m3u8
山东公共,http://222.173.9.81:80/00/SNM/CHANNEL00000053/index.m3u8
山东公共,http://222.173.9.81:80/00/SNM/CHANNEL00000314/index.m3u8
山东综艺,http://222.173.9.81:80/00/SNM/CHANNEL00000054/index.m3u8
山东生活,http://222.173.9.81:80/00/SNM/CHANNEL00000055/index.m3u8
山东影视,http://222.173.9.81:80/00/SNM/CHANNEL00000056/index.m3u8
山东体育,http://222.173.9.81:80/00/SNM/CHANNEL00000057/index.m3u8
山东农科,http://222.173.9.81:80/00/SNM/CHANNEL00000058/index.m3u8
山东少儿,http://222.173.9.81:80/00/SNM/CHANNEL00000059/index.m3u8
山东国际,http://222.173.9.81:80/00/SNM/CHANNEL00000060/index.m3u8
济南新闻,http://222.173.9.81:80/00/SNM/CHANNEL00000061/index.m3u8
济南都市,http://222.173.9.81:80/00/SNM/CHANNEL00000062/index.m3u8
济南生活,http://222.173.9.81:80/00/SNM/CHANNEL00000063/index.m3u8
济南影视,http://222.173.9.81:80/00/SNM/CHANNEL00000064/index.m3u8
济南娱乐,http://222.173.9.81:80/00/SNM/CHANNEL00000065/index.m3u8
济南商务,http://222.173.9.81:80/00/SNM/CHANNEL00000066/index.m3u8
济南少儿,http://222.173.9.81:80/00/SNM/CHANNEL00000067/index.m3u8
济南教育,http://222.173.9.81:80/00/SNM/CHANNEL00000069/index.m3u8
海看生活,http://222.173.9.81:80/00/SNM/CHANNEL00000202/index.m3u8
海看教育,http://222.173.9.81:80/00/SNM/CHANNEL00000204/index.m3u8
德州1,http://222.173.9.81:80/00/SNM/CHANNEL00000206/index.m3u8
德州2,http://222.173.9.81:80/00/SNM/CHANNEL00000207/index.m3u8
潍坊1,http://222.173.9.81:80/00/SNM/CHANNEL00000215/index.m3u8
潍坊2,http://222.173.9.81:80/00/SNM/CHANNEL00000216/index.m3u8
滨州新闻,http://222.173.9.81:80/00/SNM/CHANNEL00000220/index.m3u8
滨州公共,http://222.173.9.81:80/00/SNM/CHANNEL00000221/index.m3u8
东营新闻,http://222.173.9.81:80/00/SNM/CHANNEL00000226/index.m3u8
东营公共,http://222.173.9.81:80/00/SNM/CHANNEL00000227/index.m3u8
菏泽1,http://222.173.9.81:80/00/SNM/CHANNEL00000232/index.m3u8
菏泽3,http://222.173.9.81:80/00/SNM/CHANNEL00000233/index.m3u8
济宁综合,http://222.173.9.81:80/00/SNM/CHANNEL00000238/index.m3u8
济宁教育,http://222.173.9.81:80/00/SNM/CHANNEL00000239/index.m3u8
鲁中综合,http://222.173.9.81:80/00/SNM/CHANNEL00000244/index.m3u8
鲁中科教,http://222.173.9.81:80/00/SNM/CHANNEL00000245/index.m3u8
日照综合,http://222.173.9.81:80/00/SNM/CHANNEL00000262/index.m3u8
日照科教,http://222.173.9.81:80/00/SNM/CHANNEL00000263/index.m3u8
威海公共,http://222.173.9.81:80/00/SNM/CHANNEL00000275/index.m3u8
烟台新闻,http://222.173.9.81:80/00/SNM/CHANNEL00000280/index.m3u8
烟台公共,http://222.173.9.81:80/00/SNM/CHANNEL00000281/index.m3u8
烟台经济,http://222.173.9.81:80/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://222.173.9.81:80/00/SNM/CHANNEL00000283/index.m3u8
淄博新闻,http://222.173.9.81:80/00/SNM/CHANNEL00000292/index.m3u8
淄博都市,http://222.173.9.81:80/00/SNM/CHANNEL00000293/index.m3u8
淄博生活,http://222.173.9.81:80/00/SNM/CHANNEL00000294/index.m3u8
淄博科教,http://222.173.9.81:80/00/SNM/CHANNEL00000295/index.m3u8
山东卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000301/index.m3u8
北京卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000302/index.m3u8
江苏卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000305/index.m3u8
黑龙江卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000306/index.m3u8
广东卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000308/index.m3u8
东方卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000309/index.m3u8
东南卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000310/index.m3u8
CCTV1HD,http://222.173.9.81:80/00/SNM/CHANNEL00000311/index.m3u8
济南新闻HD,http://222.173.9.81:80/00/SNM/CHANNEL00000312/index.m3u8
山东齐鲁HD,http://222.173.9.81:80/00/SNM/CHANNEL00000313/index.m3u8
山东公共HD,http://222.173.9.81:80/00/SNM/CHANNEL00000314/index.m3u8
山东体育HD,http://222.173.9.81:80/00/SNM/CHANNEL00000315/index.m3u8
CCTV5+HD,http://222.173.9.81:80/00/SNM/CHANNEL00000316/index.m3u8
CCTV2HD,http://222.173.9.81:80/00/SNM/CHANNEL00000317/index.m3u8
CCTV7HD,http://222.173.9.81:80/00/SNM/CHANNEL00000318/index.m3u8
CCTV9HD,http://222.173.9.81:80/00/SNM/CHANNEL00000319/index.m3u8
CCTV4HD,http://222.173.9.81:80/00/SNM/CHANNEL00000320/index.m3u8
CCTV10HD,http://222.173.9.81:80/00/SNM/CHANNEL00000321/index.m3u8
CCTV12HD,http://222.173.9.81:80/00/SNM/CHANNEL00000322/index.m3u8
CCTV14HD,http://222.173.9.81:80/00/SNM/CHANNEL00000323/index.m3u8
湖南卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000324/index.m3u8
安徽卫视HD,http://222.173.9.81:80/00/SNM/CHANNEL00000328/index.m3u8
金鹰纪实HD,http://222.173.9.81:80/00/SNM/CHANNEL00000334/index.m3u8
山东少儿,http://222.173.9.81:80/00/SNM/CHANNEL00000340/index.m3u8
海看演艺,http://222.173.9.81:80/00/SNM/CHANNEL00000400/index.m3u8
海看健康,http://222.173.9.81:80/00/SNM/CHANNEL00000401/index.m3u8
海看少儿,http://222.173.9.81:80/00/SNM/CHANNEL00000402/index.m3u8
海看剧场,http://222.173.9.81:80/00/SNM/CHANNEL00000403/index.m3u8
海看大片,http://222.173.9.81:80/00/SNM/CHANNEL00000404/index.m3u8
海看热播,http://222.173.9.81:80/00/SNM/CHANNEL00000405/index.m3u8
靓妆频道,http://222.173.9.81:80/00/SNM/CHANNEL00000406/index.m3u8
海看大片,http://222.173.9.81:80/00/SNM/CHANNEL00000407/index.m3u8
海看电竞,http://222.173.9.81:80/00/SNM/CHANNEL00000408/index.m3u8
青岛QTV1,http://222.173.9.81:80/00/SNM/CHANNEL00000500/index.m3u8
青岛QTV2,http://222.173.9.81:80/00/SNM/CHANNEL00000501/index.m3u8
青岛QTV3,http://222.173.9.81:80/00/SNM/CHANNEL00000502/index.m3u8
青岛QTV4,http://222.173.9.81:80/00/SNM/CHANNEL00000503/index.m3u8
青岛QTV5,http://222.173.9.81:80/00/SNM/CHANNEL00000504/index.m3u8
青岛QTV6,http://222.173.9.81:80/00/SNM/CHANNEL00000505/index.m3u8
喜剧影院,http://222.173.9.81:80/00/SNM/CHANNEL00000602/index.m3u8
动作影院,http://222.173.9.81:80/00/SNM/CHANNEL00000603/index.m3u8
IPTV经典电影,http://222.173.9.81:80/00/SNM/CHANNEL00000604/index.m3u8
IPTV少儿动画,http://222.173.9.81:80/00/SNM/CHANNEL00000605/index.m3u8
IPTV相声小品,http://222.173.9.81:80/00/SNM/CHANNEL00000606/index.m3u8
财富天下,http://222.173.9.81:80/00/SNM/CHANNEL00000607/index.m3u8
IPTV热播剧场,http://222.173.9.81:80/00/SNM/CHANNEL00000608/index.m3u8
IPTV魅力时尚,http://222.173.9.81:80/00/SNM/CHANNEL00000609/index.m3u8
墨宝,http://222.173.9.81:80/00/SNM/CHANNEL00000610/index.m3u8
光影,http://222.173.9.81:80/00/SNM/CHANNEL00000611/index.m3u8
人物频道,http://222.173.9.81:80/00/SNM/CHANNEL00000612/index.m3u8
四海钓鱼,http://222.173.9.81:80/00/SNM/CHANNEL00000640/index.m3u8
优优宝贝,http://222.173.9.81:80/00/SNM/CHANNEL00000641/index.m3u8
中华特产,http://222.173.9.81:80/00/SNM/CHANNEL00000642/index.m3u8
环球旅游,http://222.173.9.81:80/00/SNM/CHANNEL00000643/index.m3u8
新娱乐,http://222.173.9.81:80/00/SNM/CHANNEL00000644/index.m3u8
车迷频道,http://222.173.9.81:80/00/SNM/CHANNEL00000645/index.m3u8
家居频道,http://222.173.9.81:80/00/SNM/CHANNEL00000700/index.m3u8
IPTV5+,http://222.173.9.81:80/00/SNM/CHANNEL00000703/index.m3u8
足球,http://222.173.9.81:80/00/SNM/CHANNEL00000704/index.m3u8
新闻,http://222.173.9.81:80/00/SNM/CHANNEL00001006/index.m3u8
山东教育,http://222.173.9.81:80/00/SNM/CHANNEL10000062/index.m3u8
济阳综合,http://222.173.9.81:80/00/SNM/CHANNEL00001030/index.m3u8
淄博公共,http://222.173.9.81:80/00/SNM/CHANNEL00001037/index.m3u8
邹城综合,http://222.173.9.81:80/00/SNM/CHANNEL00001038/index.m3u8
日照岚山,http://222.173.9.81:80/00/SNM/CHANNEL00001044/index.m3u8



CCTV1,http://222.173.9.81:80/00/SNM/CHANNEL00000001/index.m3u8?icpid=88888892&from=12&hms_devid=784
CCTV1,http://222.173.9.81:80/2/00/CHANNEL00000001/1660800/1.m3u8
CCTV1,http://222.173.9.81:80/2/00/CHANNEL00000001/2540800/1.m3u8
CCTV2,http://222.173.9.78:80/00/SNM/CHANNEL00000002/index.m3u8?icpid=88888892&from=12&hms_devid=764
CCTV2,http://222.173.9.78:80/2/00/CHANNEL00000002/1660800/1.m3u8
CCTV2,http://222.173.9.78:80/2/00/CHANNEL00000002/2540800/1.m3u8
CCTV3,http://222.173.9.82:80/00/SNM/CHANNEL00000003/index.m3u8?icpid=88888892&from=12&hms_devid=784
CCTV3,http://222.173.9.82:80/2/00/CHANNEL00000003/1660800/1.m3u8
CCTV3,http://222.173.9.82:80/2/00/CHANNEL00000003/2540800/1.m3u8
CCTV4,http://222.173.9.77:80/00/SNM/CHANNEL00000004/index.m3u8?icpid=88888892&from=12&hms_devid=764
CCTV4,http://222.173.9.77:80/2/00/CHANNEL00000004/1660800/1.m3u8
CCTV4,http://222.173.9.77:80/2/00/CHANNEL00000004/2540800/1.m3u8
CCTV5,http://222.173.9.82:80/00/SNM/CHANNEL30000005/index.m3u8?icpid=88888892&from=12&hms_devid=784
CCTV5,http://222.173.9.82:80/2/00/CHANNEL30000005/3640800/1.m3u8
